time,h,mean_energy,mean_velocity
0,0,0,0
2.2884e-06,7.6777,8.287866237584e-20,346301.87195743
4.5768e-06,7.6777,8.8154296764964e-20,356757.80386426
6.8652e-06,7.6777,8.7652717481082e-20,354648.8112571
9.1536e-06,7.6777,8.5856717611888e-20,348561.45122937
1.1442e-05,7.6777,8.8570415896792e-20,354164.31428763
1.37304e-05,7.6777,8.7784416952487e-20,352155.84327301
1.60188e-05,7.6777,8.5320652199077e-20,346832.63835724
1.83072e-05,7.6777,8.796273327402e-20,352713.14286524
2.05956e-05,7.6777,8.7109660739658e-20,350668.5108358
2.2884e-05,7.6777,8.5807562299976e-20,348410.68827357
2.51724e-05,7.6777,8.8030234241739e-20,352932.30777342
2.74608e-05,7.6777,8.7550634701104e-20,350886.41742652
2.97492e-05,7.6777,8.5489698513052e-20,348092.15628831
3.20376e-05,7.6777,8.8366882494112e-20,354376.75734198
3.4326e-05,7.6777,8.7773071638223e-20,354060.30344704
3.66144e-05,7.6777,8.6903525747537e-20,352477.03987818
3.89028e-05,7.6777,8.7958737860877e-20,354817.63843814
4.11912e-05,7.6777,8.9014895812784e-20,355228.32630084
4.34796e-05,7.6777,8.8174146731049e-20,352052.40552467
4.5768e-05,7.6777,8.9404710867687e-20,353404.71807823
4.80564e-05,7.6777,8.9213088165669e-20,353343.44894449
5.03448e-05,7.6777,8.9004262808076e-20,353982.81491114
5.26332e-05,7.6777,8.9694304105406e-20,355996.57186562
5.49216e-05,7.6777,8.896316416128e-20,353580.21430328
5.721e-05,7.6777,8.839153400836e-20,351646.49415485
5.94984e-05,7.6777,8.9630771048547e-20,355411.62187706
6.17868e-05,7.6777,8.9172725585859e-20,356456.43201213
6.40752e-05,7.6777,8.869410087849e-20,354864.35908216
6.63636e-05,7.6777,8.9179909722655e-20,352945.49182714
6.8652e-05,7.6777,8.8818077207577e-20,351575.72456944
7.09404e-05,7.6777,8.8867609458173e-20,351923.32112175
7.32288e-05,7.6777,8.9525634274769e-20,354211.79438394
7.55172e-05,7.6777,8.8873435683305e-20,352762.04139393
7.78056e-05,7.6777,8.8787098888498e-20,351823.40266361
8.0094e-05,7.6777,8.9755497806233e-20,353693.36068049
8.23824e-05,7.6777,8.9285448312991e-20,351898.31330309
8.46708e-05,7.6777,8.9548071642168e-20,351499.83821291
8.69592e-05,7.6777,9.0038122192194e-20,352806.95310984
8.92476e-05,7.6777,8.9766871711233e-20,352922.60163248
9.1536e-05,7.6777,8.9807848980662e-20,352356.37811751
9.38244e-05,7.6777,9.0217689151761e-20,353317.014407
9.61128e-05,7.6777,9.0290416733598e-20,353994.73500989
9.84012e-05,7.6777,9.042112473489e-20,355242.22024823
0.0001006896,7.6777,9.1093293048664e-20,357499.68700029
0.000102978,7.6777,9.0477419664376e-20,357004.21551771
0.0001052664,7.6777,9.051856525881e-20,357463.85331649
0.0001075548,7.6777,9.0759188180897e-20,358608.70045055
0.0001098432,7.6777,9.0807448502171e-20,358918.24312861
0.0001121316,7.6777,9.0806180066146e-20,357797.05853835
0.00011442,7.6777,9.1147366159418e-20,357638.12552927
0.0001167084,7.6777,9.0742874109259e-20,356163.06029129
0.0001189968,7.6777,9.0856472399925e-20,356105.5215541
0.0001212852,7.6777,9.1304080106987e-20,357107.77906128
0.0001235736,7.6777,9.114211534908e-20,355574.79225169
0.000125862,7.6777,9.0677395109941e-20,353556.45948803
0.0001281504,7.6777,9.1615067120515e-20,355661.89281343
0.0001304388,7.6777,9.1608405417183e-20,356964.03567566
0.0001327272,7.6777,9.1374633344822e-20,358107.2516858
0.0001350156,7.6777,9.1637406822612e-20,358631.66782657
0.000137304,7.6777,9.1275542725799e-20,356994.46750425
