time,h,mean_energy,mean_velocity
0,0,0,0
2.2884e-06,9.5972,7.8643818043044e-20,335699.70775683
4.5768e-06,9.5972,8.4958527388367e-20,349263.47471211
6.8652e-06,9.5972,8.5351862552811e-20,350503.64821243
9.1536e-06,9.5972,8.2127583259386e-20,342847.42031947
1.1442e-05,9.5972,8.5801127349864e-20,348096.2522969
1.37304e-05,9.5972,8.4970023018787e-20,346498.69450365
1.60188e-05,9.5972,8.2434157269702e-20,341487.87669746
1.83072e-05,9.5972,8.59112941729e-20,350091.98436244
2.05956e-05,9.5972,8.4417553215174e-20,346124.74254554
2.2884e-05,9.5972,8.1971693407044e-20,339183.16011948
2.51724e-05,9.5972,8.5323176636323e-20,347916.57470685
2.74608e-05,9.5972,8.4565894013021e-20,343496.86044495
2.97492e-05,9.5972,8.2503068793669e-20,339378.03056247
3.20376e-05,9.5972,8.492036963813e-20,346692.11603157
3.4326e-05,9.5972,8.4593494048569e-20,345080.55361438
3.66144e-05,9.5972,8.3543498194475e-20,341063.42351484
3.89028e-05,9.5972,8.6232890633107e-20,343518.54879483
4.11912e-05,9.5972,8.5740788259345e-20,342076.68671926
4.34796e-05,9.5972,8.3596932729764e-20,340473.96535814
4.5768e-05,9.5972,8.6508736540224e-20,348342.84655024
4.80564e-05,9.5972,8.5223902698228e-20,344751.39825882
5.03448e-05,9.5972,8.4334288857871e-20,340261.57169894
5.26332e-05,9.5972,8.7920194216887e-20,348322.35646818
5.49216e-05,9.5972,8.6805042240434e-20,345469.12664241
5.721e-05,9.5972,8.4993395450918e-20,341625.23901737
5.94984e-05,9.5972,8.7705281370614e-20,349385.93641871
6.17868e-05,9.5972,8.6991312820627e-20,350188.54739937
6.40752e-05,9.5972,8.6357810183134e-20,349824.22656175
6.63636e-05,9.5972,8.8753116782017e-20,354927.60720578
6.8652e-05,9.5972,8.7592028017603e-20,350163.22403767
7.09404e-05,9.5972,8.6931500508718e-20,346329.09175372
7.32288e-05,9.5972,8.8228211871785e-20,351234.59757276
7.55172e-05,9.5972,8.7879361047905e-20,350756.0246155
7.78056e-05,9.5972,8.6781232813908e-20,348331.39812841
8.0094e-05,9.5972,8.8860767088419e-20,355723.29474898
8.23824e-05,9.5972,8.8574311636595e-20,354538.49648102
8.46708e-05,9.5972,8.7804129877062e-20,349601.42619543
8.69592e-05,9.5972,8.9455818555038e-20,352338.24312736
8.92476e-05,9.5972,8.9057743811068e-20,351337.47710585
9.1536e-05,9.5972,8.7599604614122e-20,350607.50272087
