time,h,mean_energy,mean_velocity
0,0,0,0
1.1442e-06,0.95972,7.9956015889176e-20,334469.18422692
2.2884e-06,0.95972,7.9979047028412e-20,334402.76280131
3.4326e-06,0.95972,8.00018514727e-20,334404.55748809
4.5768e-06,0.95972,8.0000223385085e-20,334327.88341684
5.721e-06,0.95972,8.003813027003e-20,334144.38997143
6.8652e-06,0.95972,8.0110134209001e-20,334657.16503064
8.0094e-06,0.95972,7.999529266268e-20,334544.40632828
9.1536e-06,0.95972,8.0177017355034e-20,335223.56262096
1.02978e-05,0.95972,8.0044739157761e-20,334997.14802647
1.1442e-05,0.95972,7.9946706794031e-20,334600.156931
1.25862e-05,0.95972,8.0059334166261e-20,334664.02869242
1.37304e-05,0.95972,8.0013200405131e-20,334556.64311725
1.48746e-05,0.95972,8.0211240121293e-20,334815.67609495
1.60188e-05,0.95972,8.0161016279091e-20,334773.02356241
1.7163e-05,0.95972,8.0288178445331e-20,334994.75129559
1.83072e-05,0.95972,8.0361983198393e-20,335079.92629608
1.94514e-05,0.95972,8.0454962661837e-20,335549.97054159
2.05956e-05,0.95972,8.0390312384177e-20,335302.59646787
2.17398e-05,0.95972,8.0420598053786e-20,335376.73079026
2.2884e-05,0.95972,8.0209313755568e-20,334981.50617189
2.40282e-05,0.95972,8.028211559348e-20,335003.48278571
2.51724e-05,0.95972,8.0388655143705e-20,335745.74124064
2.63166e-05,0.95972,8.0582131688324e-20,336300.29991849
2.74608e-05,0.95972,8.0431099876571e-20,335820.25956593
2.8605e-05,0.95972,8.0319653401387e-20,335613.46225588
2.97492e-05,0.95972,8.0290585917248e-20,335598.94856122
3.08934e-05,0.95972,8.0340126414712e-20,335556.94904595
3.20376e-05,0.95972,8.0381417976672e-20,335336.2216537
3.31818e-05,0.95972,8.0369305821156e-20,335252.76836975
3.4326e-05,0.95972,8.0173482732106e-20,334777.65040354
3.54702e-05,0.95972,8.0143865374813e-20,334581.08926561
3.66144e-05,0.95972,8.0232542898667e-20,334835.63289018
3.77586e-05,0.95972,8.0344485061636e-20,335255.77047793
3.89028e-05,0.95972,8.015987989991e-20,334819.52761799
4.0047e-05,0.95972,8.0070478622811e-20,334959.12525463
4.11912e-05,0.95972,8.0265612975971e-20,335614.7775574
4.23354e-05,0.95972,8.0413617210008e-20,335764.59368895
4.34796e-05,0.95972,8.0345744653665e-20,335425.23124504
4.46238e-05,0.95972,8.0375637222543e-20,335270.4934811
4.5768e-05,0.95972,8.0633415306166e-20,335495.90995398
4.69122e-05,0.95972,8.0738738796752e-20,335630.97899037
4.80564e-05,0.95972,8.0585008555858e-20,335533.45733018
4.92006e-05,0.95972,8.0593417306964e-20,335808.25480964
5.03448e-05,0.95972,8.0665446010857e-20,336118.91411985
5.1489e-05,0.95972,8.0599265406208e-20,336162.02012674
5.26332e-05,0.95972,8.0676312405446e-20,336284.59127585
5.37774e-05,0.95972,8.071538982712e-20,336243.22377568
5.49216e-05,0.95972,8.0679424151184e-20,335910.19945741
5.60658e-05,0.95972,8.0650498897892e-20,335602.06884369
5.721e-05,0.95972,8.0895271410901e-20,336103.87306326
5.83542e-05,0.95972,8.0825114584443e-20,336088.94763704
5.94984e-05,0.95972,8.085123991358e-20,336434.68072123
6.06426e-05,0.95972,8.0856812940345e-20,336545.92566733
6.17868e-05,0.95972,8.0820537970141e-20,336603.43296673
6.2931e-05,0.95972,8.0905644060088e-20,336593.45113236
6.40752e-05,0.95972,8.0987781318142e-20,336775.4885075
6.52194e-05,0.95972,8.0962644695478e-20,336523.48664174
6.63636e-05,0.95972,8.089630361778e-20,336494.54040522
6.75078e-05,0.95972,8.090532259886e-20,336543.87227481
6.8652e-05,0.95972,8.0954746515062e-20,336469.85521214
6.97962e-05,0.95972,8.0734881106117e-20,335662.61903283
7.09404e-05,0.95972,8.0505593444306e-20,335200.88753687
7.20846e-05,0.95972,7.9944868739997e-20,334855.48888249
7.32288e-05,0.95972,7.9873778829646e-20,335413.49043836
7.4373e-05,0.95972,8.0191283615164e-20,336360.38229528
7.55172e-05,0.95972,8.0453840828662e-20,337054.1318401
7.66614e-05,0.95972,8.0416014984705e-20,337017.60738039
7.78056e-05,0.95972,8.0191823745552e-20,336452.21302614
7.89498e-05,0.95972,8.0175581067792e-20,336039.81565164
8.0094e-05,0.95972,8.0255153932597e-20,336029.57468639
8.12382e-05,0.95972,8.017550011769e-20,335941.41373665
8.23824e-05,0.95972,8.0249865725904e-20,336131.86496647
8.35266e-05,0.95972,8.0125505418201e-20,335906.73170032
8.46708e-05,0.95972,8.023615299544e-20,336129.27041834
8.5815e-05,0.95972,8.0205204026829e-20,336062.74168617
8.69592e-05,0.95972,8.0070806011278e-20,335383.20966204
8.81034e-05,0.95972,8.0379741186757e-20,335760.23058399
8.92476e-05,0.95972,8.0495822980746e-20,335772.6260952
9.03918e-05,0.95972,8.0510689646575e-20,335684.61172521
9.1536e-05,0.95972,8.0256435471973e-20,335148.18699887
9.26802e-05,0.95972,8.0209674857703e-20,335119.585588
9.38244e-05,0.95972,8.0252464545224e-20,335408.71281435
9.49686e-05,0.95972,8.0460045738905e-20,335860.90898374
9.61128e-05,0.95972,8.034666972864e-20,335604.80888626
9.7257e-05,0.95972,8.055325854713e-20,335841.79333913
9.84012e-05,0.95972,8.0745316410205e-20,336553.32347465
9.95454e-05,0.95972,8.0647435089449e-20,336336.51738554
0.0001006896,0.95972,8.0782762559275e-20,336876.51706853
0.0001018338,0.95972,8.1030408950885e-20,337359.85669346
0.000102978,0.95972,8.1075719395667e-20,337347.79580477
0.0001041222,0.95972,8.1187567917835e-20,337510.19871877
0.0001052664,0.95972,8.1256013423819e-20,337520.60303762
0.0001064106,0.95972,8.1269115830497e-20,337455.60440855
0.0001075548,0.95972,8.1099869846821e-20,337188.52021844
0.000108699,0.95972,8.1073170327795e-20,337389.54923187
0.0001098432,0.95972,8.1263349821749e-20,337894.14068682
0.0001109874,0.95972,8.1493419202805e-20,338236.42010225
0.0001121316,0.95972,8.1153073400287e-20,337610.73078195
0.0001132758,0.95972,8.1042849759685e-20,337566.00746052
0.00011442,0.95972,8.1250760801133e-20,338089.73896287
0.0001155642,0.95972,8.1345429419624e-20,338245.22688015
0.0001167084,0.95972,8.1011692618784e-20,337408.95893684
0.0001178526,0.95972,8.0808604628221e-20,337265.74600091
0.0001189968,0.95972,8.0945823062349e-20,337537.46815862
0.000120141,0.95972,8.1239290449744e-20,338059.73399013
0.0001212852,0.95972,8.1288575563798e-20,338006.29190487
0.0001224294,0.95972,8.1405896853921e-20,338055.27777572
0.0001235736,0.95972,8.1345522784242e-20,337892.94354469
0.0001247178,0.95972,8.1353748589727e-20,337847.0017082
0.000125862,0.95972,8.1354932002244e-20,337773.69048111
0.0001270062,0.95972,8.1462507428845e-20,338074.39067163
0.0001281504,0.95972,8.1417123069876e-20,338057.80375509
0.0001292946,0.95972,8.1358317149471e-20,337999.55877556
0.0001304388,0.95972,8.1339111216756e-20,337980.57308246
0.000131583,0.95972,8.1451047360146e-20,338137.38792377
0.0001327272,0.95972,8.1484658941676e-20,338152.49821135
0.0001338714,0.95972,8.130467716367e-20,338028.15155811
0.0001350156,0.95972,8.1496863126411e-20,338222.88517165
0.0001361598,0.95972,8.1679999098036e-20,338537.85816351
0.000137304,0.95972,8.1721442253152e-20,338589.71386872
0.0001384482,0.95972,8.1762230768066e-20,338944.23540375
0.0001395924,0.95972,8.1837626804963e-20,339255.11938701
0.0001407366,0.95972,8.181399610973e-20,339159.689594
0.0001418808,0.95972,8.1617804425551e-20,338789.85973546
0.000143025,0.95972,8.1684679645327e-20,338703.4182664
0.0001441692,0.95972,8.1619009201022e-20,338427.12605618
0.0001453134,0.95972,8.1740255097851e-20,338559.90949046
0.0001464576,0.95972,8.1602462195657e-20,338432.99745645
0.0001476018,0.95972,8.1294656274637e-20,338084.13114372
0.000148746,0.95972,8.142608740998e-20,338442.40695662
0.0001498902,0.95972,8.1547669425853e-20,338332.11791979
0.0001510344,0.95972,8.160822195129e-20,338441.51757924
0.0001521786,0.95972,8.1567583806427e-20,338194.97874826
0.0001533228,0.95972,8.15621790654e-20,337997.73787392
0.000154467,0.95972,8.1650770268498e-20,338158.46344609
0.0001556112,0.95972,8.1534404852345e-20,338139.64443655
0.0001567554,0.95972,8.1451257361566e-20,338055.47349192
0.0001578996,0.95972,8.1501246747773e-20,338244.80002235
0.0001590438,0.95972,8.1791696278646e-20,338965.85011404
0.000160188,0.95972,8.1888896752011e-20,339180.12155485
0.0001613322,0.95972,8.1801853993676e-20,338860.59918578
0.0001624764,0.95972,8.1934840631682e-20,339068.58043635
0.0001636206,0.95972,8.1713775692178e-20,338573.90093889
0.0001647648,0.95972,8.1910826437536e-20,339023.25592905
0.000165909,0.95972,8.1803111278638e-20,338970.20834563
0.0001670532,0.95972,8.1808409732388e-20,338907.90162093
0.0001681974,0.95972,8.1799057406938e-20,338825.21732932
0.0001693416,0.95972,8.1851157324881e-20,338906.23649256
0.0001704858,0.95972,8.2019073263882e-20,339275.5863783
0.00017163,0.95972,8.2152135414442e-20,339404.20842825
0.0001727742,0.95972,8.2043024865454e-20,339373.46382638
0.0001739184,0.95972,8.1912055771157e-20,338990.19172833
0.0001750626,0.95972,8.1957101137939e-20,339061.82403893
0.0001762068,0.95972,8.2302712043317e-20,339550.51567309
0.000177351,0.95972,8.2124813339133e-20,339234.51972066
0.0001784952,0.95972,8.2291475938362e-20,339684.40694859
0.0001796394,0.95972,8.2177249752044e-20,339473.82919265
0.0001807836,0.95972,8.2374083608542e-20,339678.29747318
0.0001819278,0.95972,8.2423987060999e-20,339759.54144626
0.000183072,0.95972,8.2645956961978e-20,340245.50013984
0.0001842162,0.95972,8.2543969756291e-20,339998.1439184
0.0001853604,0.95972,8.2768415107888e-20,340388.3578967
0.0001865046,0.95972,8.283295472797e-20,340739.91198653
0.0001876488,0.95972,8.2989071900843e-20,341255.72763038
0.000188793,0.95972,8.2763878550645e-20,340827.63032676
0.0001899372,0.95972,8.2558300191426e-20,340346.20828886
0.0001910814,0.95972,8.2776158976492e-20,340748.1804414
0.0001922256,0.95972,8.2934810668431e-20,340841.50565267
0.0001933698,0.95972,8.2818618684765e-20,340399.09238275
0.000194514,0.95972,8.2875279013487e-20,340659.3094885
0.0001956582,0.95972,8.2842628751588e-20,340851.3661406
0.0001968024,0.95972,8.2863112256992e-20,340868.46554897
0.0001979466,0.95972,8.2756398277064e-20,340601.72685383
0.0001990908,0.95972,8.2470297424916e-20,339963.29334403
0.000200235,0.95972,8.2343784007149e-20,339710.02107466
0.0002013792,0.95972,8.2222871106028e-20,339422.78009282
0.0002025234,0.95972,8.218261360693e-20,339089.71795188
0.0002036676,0.95972,8.2026962799893e-20,338929.18081358
0.0002048118,0.95972,8.2215219133357e-20,339551.2397678
0.000205956,0.95972,8.2308385458976e-20,339550.6408856
0.0002071002,0.95972,8.2459293961438e-20,339653.08019725
0.0002082444,0.95972,8.2451921932667e-20,339791.39093849
0.0002093886,0.95972,8.2384923029309e-20,339468.48466846
0.0002105328,0.95972,8.2400279844178e-20,339640.22435399
0.000211677,0.95972,8.2609794456446e-20,340215.94593648
0.0002128212,0.95972,8.266376833886e-20,340601.72071148
0.0002139654,0.95972,8.2865851132791e-20,340937.43988487
0.0002151096,0.95972,8.2766518789585e-20,340520.51300725
0.0002162538,0.95972,8.2684926361967e-20,340114.97630845
0.000217398,0.95972,8.2754050426416e-20,339979.25081294
0.0002185422,0.95972,8.2771770791657e-20,339830.42936791
0.0002196864,0.95972,8.2872224227429e-20,340276.21015754
0.0002208306,0.95972,8.2983265043176e-20,340830.12739444
0.0002219748,0.95972,8.3071706180689e-20,341110.79731672
0.000223119,0.95972,8.3300329436214e-20,341621.00097212
0.0002242632,0.95972,8.3084923674316e-20,341039.38049714
0.0002254074,0.95972,8.2947375003394e-20,340632.73946527
0.0002265516,0.95972,8.299470133802e-20,340895.20934107
0.0002276958,0.95972,8.2973464026058e-20,340853.93338796
0.00022884,0.95972,8.3161295411378e-20,341251.69526299
0.0002299842,0.95972,8.3073826069814e-20,340988.38978936
0.0002311284,0.95972,8.2722888508417e-20,340243.77741589
0.0002322726,0.95972,8.2919352894642e-20,340944.70256948
0.0002334168,0.95972,8.3056716453216e-20,341367.70492333
0.000234561,0.95972,8.3230380028514e-20,341678.40082797
0.0002357052,0.95972,8.3454775819953e-20,341979.79213046
0.0002368494,0.95972,8.3536985350552e-20,341995.81765077
0.0002379936,0.95972,8.3710396485881e-20,342162.14240792
0.0002391378,0.95972,8.3477082752357e-20,341410.06394612
0.000240282,0.95972,8.3320030252125e-20,341167.52987373
0.0002414262,0.95972,8.3111584376426e-20,340778.56048718
0.0002425704,0.95972,8.314926900974e-20,341089.82865257
0.0002437146,0.95972,8.3308585654798e-20,341706.90390739
0.0002448588,0.95972,8.3411720519613e-20,341741.69133072
0.000246003,0.95972,8.3079464226848e-20,340853.01144986
0.0002471472,0.95972,8.2830446112988e-20,339786.54220705
0.0002482914,0.95972,8.3026781081998e-20,339803.02389543
0.0002494356,0.95972,8.3203656251689e-20,339784.28276556
0.0002505798,0.95972,8.3056897187341e-20,339659.48406099
0.000251724,0.95972,8.2970235283377e-20,339872.7163927
0.0002528682,0.95972,8.2978845698504e-20,340038.56972239
0.0002540124,0.95972,8.3321653431444e-20,340614.20110255
0.0002551566,0.95972,8.2842045474289e-20,339603.57335578
0.0002563008,0.95972,8.2620914399124e-20,338881.46770183
0.000257445,0.95972,8.307021924793e-20,339499.44667249
0.0002585892,0.95972,8.3251493143844e-20,339537.40725086
0.0002597334,0.95972,8.3423388182731e-20,340170.20371482
0.0002608776,0.95972,8.3371344579376e-20,340223.16699495
0.0002620218,0.95972,8.3321689082199e-20,340031.85335269
0.000263166,0.95972,8.3193184556304e-20,339916.33142573
0.0002643102,0.95972,8.2928840839872e-20,339568.75704748
0.0002654544,0.95972,8.3241927586395e-20,340644.59985681
0.0002665986,0.95972,8.368249856618e-20,342018.49663585
0.0002677428,0.95972,8.3649107245077e-20,341633.99266174
0.000268887,0.95972,8.3382794061964e-20,340399.26168386
0.0002700312,0.95972,8.3427522591407e-20,339892.80959728
0.0002711754,0.95972,8.3309473204712e-20,339691.05351163
