time,h,mean_energy,mean_velocity
0,0,0,0
2.2884e-06,7.6777,8.3100097851385e-20,338491.77426289
4.5768e-06,7.6777,8.5720953727742e-20,342419.64136425
6.8652e-06,7.6777,8.573669459316e-20,342742.11033278
9.1536e-06,7.6777,8.4871348692746e-20,338599.99002109
1.1442e-05,7.6777,8.6418807833488e-20,340440.61418617
1.37304e-05,7.6777,8.6759704559234e-20,341182.36237827
1.60188e-05,7.6777,8.5093755884645e-20,338008.15303924
1.83072e-05,7.6777,8.5371540698077e-20,338967.82850912
2.05956e-05,7.6777,8.5083685636943e-20,340189.17931435
2.2884e-05,7.6777,8.4937193993892e-20,342646.37021447
2.51724e-05,7.6777,8.5014950257983e-20,343221.63051002
2.74608e-05,7.6777,8.5112381855591e-20,344097.6671103
2.97492e-05,7.6777,8.4846044079252e-20,342620.29056061
3.20376e-05,7.6777,8.5554710452255e-20,340278.25349985
3.4326e-05,7.6777,8.5698726185518e-20,342116.95418897
3.66144e-05,7.6777,8.5492536293785e-20,343058.10253231
3.89028e-05,7.6777,8.594462975534e-20,343927.37513298
4.11912e-05,7.6777,8.595377514608e-20,343377.01280262
4.34796e-05,7.6777,8.5150200232045e-20,340638.44802742
4.5768e-05,7.6777,8.5735280516287e-20,340663.93296973
4.80564e-05,7.6777,8.6556437282049e-20,343189.15171368
5.03448e-05,7.6777,8.556121861099e-20,341038.07282298
5.26332e-05,7.6777,8.5373621781393e-20,339392.66970474
5.49216e-05,7.6777,8.6291725468971e-20,343629.77469421
5.721e-05,7.6777,8.4779061908943e-20,343336.38713492
5.94984e-05,7.6777,8.5984886661085e-20,345037.5513068
6.17868e-05,7.6777,8.6436392732286e-20,346064.00570335
6.40752e-05,7.6777,8.4897137850893e-20,340515.59616489
6.63636e-05,7.6777,8.6747023196337e-20,342929.22104582
6.8652e-05,7.6777,8.5980691088193e-20,343464.76711913
7.09404e-05,7.6777,8.5557491225513e-20,343466.81470936
7.32288e-05,7.6777,8.6790537218341e-20,346967.70257726
7.55172e-05,7.6777,8.5891830216736e-20,344244.32017616
7.78056e-05,7.6777,8.529048425484e-20,340503.81169009
8.0094e-05,7.6777,8.7214270461445e-20,342969.03902842
8.23824e-05,7.6777,8.5960825685389e-20,343361.92638161
8.46708e-05,7.6777,8.6277975265886e-20,345122.94254255
8.69592e-05,7.6777,8.6983778010854e-20,347018.19213191
8.92476e-05,7.6777,8.5684463099353e-20,344973.55286142
9.1536e-05,7.6777,8.6625983575675e-20,346811.64330925
9.38244e-05,7.6777,8.7396305013592e-20,348950.60041725
9.61128e-05,7.6777,8.6264468305871e-20,346399.76334075
9.84012e-05,7.6777,8.6791660948556e-20,347316.4615491
0.0001006896,7.6777,8.7378930003473e-20,347719.88638143
0.000102978,7.6777,8.6691013523556e-20,345438.36439872
0.0001052664,7.6777,8.6954328247308e-20,344836.3723176
0.0001075548,7.6777,8.7212815507049e-20,345959.43573169
0.0001098432,7.6777,8.6100176816544e-20,344337.80004111
0.0001121316,7.6777,8.7241018336405e-20,346414.13360952
0.00011442,7.6777,8.7330385339335e-20,346797.04915073
0.0001167084,7.6777,8.6231883406367e-20,344651.26379211
0.0001189968,7.6777,8.7349764043314e-20,345616.55671728
0.0001212852,7.6777,8.7334177018887e-20,344963.82991437
0.0001235736,7.6777,8.7122372934242e-20,344670.06167824
0.000125862,7.6777,8.787675260659e-20,345504.1142444
0.0001281504,7.6777,8.6252393655994e-20,343470.49990902
0.0001304388,7.6777,8.6489744478125e-20,345620.17369868
0.0001327272,7.6777,8.7127572584501e-20,349121.7216559
0.0001350156,7.6777,8.66914191464e-20,348016.24908645
0.000137304,7.6777,8.6658731195776e-20,346613.92890132
0.0001395924,7.6777,8.7638938116618e-20,346551.57366332
0.0001418808,7.6777,8.6567760947802e-20,343993.03584454
0.0001441692,7.6777,8.7922633125457e-20,347621.25724496
0.0001464576,7.6777,8.7398343383588e-20,347318.52766255
0.000148746,7.6777,8.6595763868329e-20,345434.71688107
0.0001510344,7.6777,8.7516904270123e-20,345749.47778606
